2025-06-03 19:26:43.898 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2025-06-03 19:26:44.111 [main] INFO  com.paob.tms.TmsApplication - Starting TmsApplication using Java 17.0.0.1 with PID 21196 (D:\work\paob_tms1\target\classes started by wangxiaowen in D:\work\paob_tms1)
2025-06-03 19:26:44.114 [main] DEBUG com.paob.tms.TmsApplication - Running with Spring Boot v3.1.0, Spring v6.0.9
2025-06-03 19:26:44.116 [main] INFO  com.paob.tms.TmsApplication - The following 1 profile is active: "dev"
2025-06-03 19:26:49.824 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-06-03 19:26:49.866 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-06-03 19:26:49.866 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-06-03 19:26:49.866 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.8]
2025-06-03 19:26:50.129 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-06-03 19:26:50.136 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5759 ms
2025-06-03 19:26:51.604 [main] WARN  c.b.m.c.injector.DefaultSqlInjector - class com.paob.tms.model.FpsDwRepo ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2025-06-03 19:26:51.648 [main] WARN  c.b.m.c.injector.DefaultSqlInjector - class com.paob.tms.model.RiskMonitoring ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2025-06-03 19:26:51.688 [main] WARN  c.b.m.c.injector.DefaultSqlInjector - class com.paob.tms.dto.resp.SelectOptionResp ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2025-06-03 19:26:51.727 [main] WARN  c.b.m.c.injector.DefaultSqlInjector - class com.paob.tms.dto.resp.SubjectBalanceDetailResp ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2025-06-03 19:26:52.204 [main] WARN  c.b.m.c.injector.DefaultSqlInjector - class com.paob.tms.model.TmsSubjectBalance ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2025-06-03 19:26:53.014 [main] WARN  c.b.m.c.injector.DefaultSqlInjector - class com.paob.tms.model.TmsDailyRate ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2025-06-03 19:26:53.299 [main] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 0753da90-fbc5-45c7-a659-b2df2adcb471

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2025-06-03 19:26:53.984 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@7ec13984, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@14485747, org.springframework.security.web.context.SecurityContextHolderFilter@59a2d756, org.springframework.security.web.header.HeaderWriterFilter@3dfe59d7, org.springframework.security.web.authentication.logout.LogoutFilter@4eb63dc8, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4be12f6c, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@218df7d6, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@59fea5f5, org.springframework.security.web.access.ExceptionTranslationFilter@243c4346, org.springframework.security.web.access.intercept.AuthorizationFilter@7433ca19]
2025-06-03 19:26:54.516 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-06-03 19:26:54.569 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-06-03 19:26:54.599 [main] INFO  com.paob.tms.TmsApplication - Started TmsApplication in 12.116 seconds (process running for 18.034)
2025-06-03 19:27:50.051 [http-nio-8080-exec-3] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-06-03 19:27:50.053 [http-nio-8080-exec-3] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-06-03 19:27:50.056 [http-nio-8080-exec-3] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2025-06-03 19:27:58.527 [http-nio-8080-exec-7] INFO  o.s.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 6347 ms
2025-06-03 19:28:04.163 [http-nio-8080-exec-6] INFO  o.s.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 2307 ms
2025-06-03 19:30:52.233 [http-nio-8080-exec-5] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-06-03 19:30:53.171 [http-nio-8080-exec-5] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@2256efdb
2025-06-03 19:30:53.171 [http-nio-8080-exec-5] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-06-03 19:32:41.678 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-06-03 19:32:41.684 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
